Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Мінімальний_обсяг_замовлення;Оптова_ціна;Мінімальне_замовлення_опт;Посилання_зображення;Наявність;Кількість;Номер_групи;Назва_групи;Посилання_підрозділу;Можливість_поставки;Термін_поставки;Спосіб_пакування;Спосіб_пакування_укр;Унікальний_ідентифікатор;Ідентифікатор_товару;Ідентифікатор_підрозділу;Ідентифікатор_групи;Виробник;Країна_виробник;Знижка;ID_групи_різновидів;Особисті_нотатки;Продукт_на_сайті;Термін_дії_знижки_від;Термін_дії_знижки_до;Ціна_від;Ярлик;HTML_заголовок;HTML_заголовок_укр;HTML_опис;HTML_опис_укр;Код_маркування_(GTIN);Номер_пристрою_(MPN);Вага,кг;Ширина,см;Висота,см;Довжина,см;Де_знаходиться_товар;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
600000;Серверный шкаф 4U, EServer 600х350х284 стекло;Серверна шафа 4U, EServer 600х350х284 скло;серверный шкаф, стойка серверная, телекоммуникационный шкаф, сетевой шкаф, шкаф для серверов, антивандальний шкаф, уличный шкаф, електрощит, металлический корпус, ударопрочный шкаф, металлический ящик, шкаф 19 дюймов;серверна шафа, стійка серверна, телекомунікаційна шафа, мережева шафа, шафа для серверів, антивандальна шафа, вулична шафа, електрощит, металевий корпус, ударостійка шафа, металевий ящик, шафа 19 дюймів;Шкаф настенный 4U от EServer. Привлекательный внешний вид, дверь из закаленного стекла, неброский серый цвет RAL 7035. В верхней крышке шкафа предусмотрены два места для установки вентиляторов 120 мм. Внешняя высота составляет 284 мм, наружная глубина - 350 мм. В шкаф можно установить оборудование глубиной до 285 мм. Боковые двери – съемные, на замках. Осуществлена подготовка под заземление (во все части шкафа установлены болты под заземление).<br>Удобные кабельные вводы расположены как на задней стенке, так и на верхней и нижней крышках шкафа. Шкаф поставляется в разобранном виде, легко собирается в течение тридцати минут одним человеком. В комплекте – одна пара передних вертикальных направляющих (рэков).;Шафа настінна 4U від EServer. Привабливий зовнішній вигляд, двері з загартованого скла, непомітний сірий колір RAL 7035. У верхній кришці шафи передбачені два місця для встановлення вентиляторів 120 мм. Зовнішня висота становить 284 мм, зовнішня глибина – 350 мм. В шафу можна встановити обладнання глибиною до 285 мм. Бічні двері – знімні, на замках. Здійснено підготовку під заземлення (в усі частини шафи встановлені болти під заземлення).<br>Зручні кабельні вводи розташовані як на задній стінці, так і на верхній і нижній кришках шафи. Шафа поставляється в розібраному вигляді, легко збирається протягом тридцяти хвилин однією людиною. В комплекті – одна пара передніх вертикальних напрямних (реків).;r;4139;UAH;шт.;;;;https://api.e-server.com.ua/storage/41664/rs/shkaf-4u-eserver-600h350h284-shgv-ekonom-steklo-seryyes-e435g___rs_1200_1036.jpg;+;100;140905380;Мережеве обладнання;https://prom.ua/Shkafy-servernye;;;;;;;70306;;EServer;;;;PROM;https://e-server.com.ua/uk/serverni-shafi/nastinni-shafi/shafa-4u-eserver-600h350h284-sh-g-v-ekonom-sklo-sira-uk-detail;;;;;;;;;;;;;;;;Висота, U;;4;Глибина;;350 мм;Ширина;;600 мм;Конструкція;;19"";Робоча глибина, мм;;285;Максимальне навантаженя;;здатні витримувати навантаження до 50кг (рівень навантаження тестувався при кріпленні шафи анкерними бовтами 8х60 до бетонної стіни);Двері;;із загартованого скла;Бічні стінки;;знімні, на замках;Введення кабелю;;на задній стінці, на верхній та нижній кришках;Вентиляційні отвори;;у верхній кришці шафи передбачено два місця для установки вентиляторів 120 мм.;Комплектація;;шафа, дві пари вертикальних напрямних (реків);Колір;;Сірий;Інше;;шафа поставляється в розібраному вигляді. Здійснено підготовку під заземлення (у всіх частинах шафи встановлено болти під заземлення).;Розміри (ВxШxГ);;284х600х350 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600001;Серверный шкаф 6U, EServer 600х350х370 (Ш*Г*В), стекло, серый;Серверна шафа 6U EServer 600х350х370 скло сіра (ES-Е635G);серверный шкаф, стойка серверная, телекоммуникационный шкаф, сетевой шкаф, шкаф для серверов, антивандальний шкаф, уличный шкаф, електрощит, металлический корпус, ударопрочный шкаф, металлический ящик, шкаф 19 дюймов;серверна шафа, стійка серверна, телекомунікаційна шафа, мережева шафа, шафа для серверів, антивандальна шафа, вулична шафа, електрощит, металевий корпус, ударостійка шафа, металевий ящик, шафа 19 дюймів;Шкаф настенный 6U от EServer. Привлекательный внешний вид, дверь из закаленного стекла, неброский серый цвет RAL 7035. В верхней крышке шкафа предусмотрены два места для установки вентиляторов 120 мм. Внешняя высота составляет 370 мм, наружная глубина - 350 мм. В шкаф можно установить оборудование глубиной до 285 мм. Боковые двери – съемные, на замках. Осуществлена подготовка под заземление (во все части шкафа установлены болты под заземление).<br>Удобные кабельные вводы расположены как на задней стенке, так и на верхней и нижней крышках шкафа. Шкаф поставляется в разобранном виде, легко собирается в течение тридцати минут одним человеком. В комплекте – одна пара передних вертикальных направляющих (рэков).;Шафа настінна 6U від EServer. Привабливий зовнішній вигляд, двері з загартованого скла, непомітний сірий колір RAL 7035. У верхній кришці шафи передбачені два місця для встановлення вентиляторів 120 мм. Зовнішня висота становить 370 мм, зовнішня глибина – 350 мм. В шафу можна встановити обладнання глибиною до 285 мм. Бічні двері – знімні, на замках. Здійснено підготовку під заземлення (в усі частини шафи встановлені болти під заземлення).<br>Зручні кабельні вводи розташовані як на задній стінці, так і на верхній і нижній кришках шафи. Шафа поставляється в розібраному вигляді, легко збирається протягом тридцяти хвилин однією людиною. В комплекті – одна пара передніх вертикальних напрямних (реків).;r;4570;UAH;шт.;;;;https://api.e-server.com.ua/storage/41656/rs/shkaf-4u-eserver-600h350h284-shgv-ekonom-steklo-seryyes-e435g___rs_1200_1036.jpg;+;100;140905380;Мережеве обладнання;https://prom.ua/Shkafy-servernye;;;;;;;70306;;EServer;;;;PROM;https://e-server.com.ua/uk/serverni-shafi/nastinni-shafi/shafa-6u-eserver-600h350h370-sh-g-v-ekonom-sklo-sira-detail;;;;;;;;;;;;;;;;Висота, U;;6;Глибина;;350 мм;Ширина;;600 мм;Конструкція;;19"";Робоча глибина, мм;;285;Максимальне навантаженя;;способны выдерживать нагрузку до 50кг (уровень нагрузки тестировался при креплении шкафа анкерными болтами 8х60 к бетонной стене);Двері;;із загартованого скла;Бічні стінки;;знімні, на замках;Введення кабелю;;на задній стінці, на верхній та нижній кришках;Вентиляційні отвори;;у верхній кришці шафи передбачено два місця для установки вентиляторів 120 мм;Комплектація;;шафа, дві пари вертикальних напрямних (реків);Колір;;Сірий;Інше;;шафа поставляється в розібраному вигляді. Здійснено підготовку під заземлення (у всіх частинах шафи встановлено болти під заземлення).;Розміри (ВxШxГ);;370х600х350 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600002;Серверный шкаф 6U, EServer 600х500х370 стекло;Серверна шафа 6U, EServer 600х500х370 скло;серверный шкаф, стойка серверная, телекоммуникационный шкаф, сетевой шкаф, шкаф для серверов, антивандальний шкаф, уличный шкаф, електрощит, металлический корпус, ударопрочный шкаф, металлический ящик, шкаф 19 дюймов;серверна шафа, стійка серверна, телекомунікаційна шафа, мережева шафа, шафа для серверів, антивандальна шафа, вулична шафа, електрощит, металевий корпус, ударостійка шафа, металевий ящик, шафа 19 дюймів;Шкаф настенный 6U от EServer. Привлекательный внешний вид, дверь из закаленного стекла, неброский серый цвет RAL 7035. В верхней крышке шкафа предусмотрены два места для установки вентиляторов 120 мм. Внешняя высота составляет 370 мм, наружная глубина - 500 мм. В шкаф можно установить оборудование глубиной до 435 мм. Боковые двери – съемные, на замках. Осуществлена подготовка под заземление (во все части шкафа установлены болты под заземление).<br>Удобные кабельные вводы расположены как на задней стенке, так и на верхней и нижней крышках шкафа. Шкаф поставляется в разобранном виде, легко собирается в течение тридцати минут одним человеком. В комплекте – две пары вертикальных направляющих (рэков).;Шафа настінна 6U від EServer. Привабливий зовнішній вигляд, двері з загартованого скла, непомітний сірий колір RAL 7035. У верхній кришці шафи передбачені два місця для встановлення вентиляторів 120 мм. Зовнішня висота становить 370 мм, зовнішня глибина – 500 мм. В шафу можна встановити обладнання глибиною до 435 мм. Бічні двері – знімні, на замках. Здійснено підготовку під заземлення (в усі частини шафи встановлені болти під заземлення).<br>Зручні кабельні вводи розташовані як на задній стінці, так і на верхній і нижній кришках шафи. Шафа поставляється в розібраному вигляді, легко збирається протягом тридцяти хвилин однією людиною. В комплекті – дві пари вертикальних напрямних (реків).;r;5640;UAH;шт.;;;;https://api.e-server.com.ua/storage/41649/rs/shkaf-4u-eserver-600h350h284-shgv-ekonom-steklo-seryyes-e435g___rs_1200_1036.jpg;+;100;140905380;Мережеве обладнання;https://prom.ua/Shkafy-servernye;;;;;;;70306;;EServer;;;;PROM;https://e-server.com.ua/uk/serverni-shafi/nastinni-shafi/shafa-6u-eserver-600h500h370-sh-g-v-ekonom-sklo-sira-detail;;;;;;;;;;;;;;;;Висота, U;;6;Глибина;;500 мм;Ширина;;600 мм;Конструкція;;19"";Робоча глибина, мм;;435;Максимальне навантаженя;;способны выдерживать нагрузку до 50кг (уровень нагрузки тестировался при креплении шкафа анкерными болтами 8х60 к бетонной стене);Двері;;із загартованого скла;Бічні стінки;;знімні, на замках;Введення кабелю;;на задній стінці, на верхній та нижній кришках;Вентиляційні отвори;;у верхній кришці шафи передбачено два місця для установки вентиляторів 120 мм;Комплектація;;шафа, дві пари вертикальних напрямних (реків);Колір;;Сірий;Інше;;шафа поставляється в розібраному вигляді. Здійснено підготовку під заземлення (у всіх частинах шафи встановлено болти під заземлення).;Розміри (ВxШxГ);;370х600х500 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600003;Серверный шкаф 9U, EServer 600х500х503 (Ш*Г*В), стекло, серый;Серверна шафа 9U EServer 600х500х503 скло сіра (ES-Е950G);серверный шкаф, стойка серверная, телекоммуникационный шкаф, сетевой шкаф, шкаф для серверов, антивандальний шкаф, уличный шкаф, електрощит, металлический корпус, ударопрочный шкаф, металлический ящик, шкаф 19 дюймов;серверна шафа, стійка серверна, телекомунікаційна шафа, мережева шафа, шафа для серверів, антивандальна шафа, вулична шафа, електрощит, металевий корпус, ударостійка шафа, металевий ящик, шафа 19 дюймів;Шкаф настенный 9U от EServer. Привлекательный внешний вид, дверь из закаленного стекла, неброский серый цвет RAL 7035. В верхней крышке шкафа предусмотрены два места для установки вентиляторов 120 мм. Внешняя высота составляет 503 мм, наружная глубина - 500 мм. В шкаф можно установить оборудование глубиной до 435 мм. Боковые двери – съемные, на замках. Осуществлена подготовка под заземление (во все части шкафа установлены болты под заземление).<br>Удобные кабельные вводы расположены как на задней стенке, так и на верхней и нижней крышках шкафа. Шкаф поставляется в разобранном виде, легко собирается в течение тридцати минут одним человеком. В комплекте – две пары вертикальных направляющих (рэков).;Шафа настінна 9U від EServer. Привабливий зовнішній вигляд, двері з загартованого скла, непомітний сірий колір RAL 7035. У верхній кришці шафи передбачені два місця для встановлення вентиляторів 120 мм. Зовнішня висота становить 503 мм, зовнішня глибина – 500 мм. В шафу можна встановити обладнання глибиною до 435 мм. Бічні двері – знімні, на замках. Здійснено підготовку під заземлення (в усі частини шафи встановлені болти під заземлення).<br>Зручні кабельні вводи розташовані як на задній стінці, так і на верхній і нижній кришках шафи. Шафа поставляється в розібраному вигляді, легко збирається протягом тридцяти хвилин однією людиною. В комплекті – дві пари вертикальних напрямних (реків).;r;6495;UAH;шт.;;;;https://api.e-server.com.ua/storage/69288/rs/ES-Е9xxG___rs_1200_1200.jpg;+;100;140905380;Мережеве обладнання;https://prom.ua/Shkafy-servernye;;;;;;;70306;;EServer;;;;PROM;https://e-server.com.ua/uk/serverni-shafi/nastinni-shafi/shafa-9u-eserver-600h500h503-sh-g-v-ekonom-sklo-sira-detail;;;;;;;;;;;;;;;;Висота, U;;9;Глибина;;500 мм;Ширина;;600 мм;Конструкція;;19"";Робоча глибина, мм;;435;Максимальне навантаженя;;здатні витримувати навантаження до 80кг (рівень навантаження тестувався при кріпленні шафи анкерними бовтами 8х60 до бетонної стіни);Двері;;із загартованого скла;Бічні стінки;;знімні, на замках;Введення кабелю;;на задній стінці, на верхній та нижній кришках;Вентиляційні отвори;;у верхній кришці шафи передбачено два місця для установки вентиляторів 120 мм;Комплектація;;шафа, дві пари вертикальних напрямних (реків);Колір;;Сірий;Інше;;шафа поставляється в розібраному вигляді. Здійснено підготовку під заземлення (у всіх частинах шафи встановлено болти під заземлення).;Розміри (ВxШxГ);;503х600х500 мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
